Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Revenue
1,"Thursday, Mar 29",boxscore,NYY,@,TOR,W,6,1,,Jan-00,1,Tied,Severino,Happ,,2:51,D,"48,115",2291236.3
2,"Friday, Mar 30",boxscore,NYY,@,TOR,W,4,2,,Feb-00,1,up 0.5,Tanaka,Sanchez,Chapman,2:49,N,"33,716",1605555.92
3,"Saturday, Mar 31",boxscore,NYY,@,TOR,L,3,5,,1-Feb,1,Tied,Tepera,Betances,Osuna,2:37,D,"37,692",1794893.04
4,"Sunday, Apr 1",boxscore,NYY,@,TOR,L,4,7,,2-Feb,2,1,Clippard,Robertson,Oh,3:03,D,"29,091",1385313.42
5,"Tuesday, Apr 3",boxscore,NYY,,TBR,W,11,4,,2-Mar,3,1.5,Kahnle,Pruitt,,3:29,D,"46,776",2227473.12
6,"Wednesday, Apr 4",boxscore,NYY,,TBR,W,7,2,,2-Apr,2,1,Severino,Snell,,2:44,D,"40,028",1906133.36
7,"Thursday, Apr 5",boxscore,NYY,,BAL,L,2,5,,3-Apr,2,2,Cashner,Tanaka,Brach,3:15,N,"33,653",1602555.86
8,"Friday, Apr 6",boxscore,NYY,,BAL,L,3,7,14,4-Apr,3,2.5,Araujo,Holder,,5:20,N,"34,244",1630699.28
9,"Saturday, Apr 7",boxscore,NYY,,BAL,W,8,3,,4-May,2,2.5,Gray,Tillman,,3:03,D,"34,388",1637556.56
10,"Sunday, Apr 8",boxscore,NYY,,BAL,L,7,8,12,5-May,3,3.5,Bleier,Warren,Brach,4:48,D,"37,096",1766511.52
11,"Tuesday, Apr 10",boxscore,NYY,@,BOS,L,1,14,,6-May,3,4.5,Sale,Severino,,3:11,N,"32,357",1540840.34
12,"Wednesday, Apr 11",boxscore,NYY,@,BOS,W,10,7,,6-Jun,3,3.5,Tanaka,Price,,3:59,N,"32,400",1542888
13,"Thursday, Apr 12",boxscore,NYY,@,BOS,L,3,6,,7-Jun,3,4.5,Porcello,Gray,Kimbrel,3:01,N,"36,341",1730558.42
14,"Friday, Apr 13",boxscore,NYY,@,DET,W,8,6,,7-Jul,3,4.5,Montgomery,Fiers,Chapman,3:28,N,"21,363",1017306.06
15,"Monday, Apr 16",boxscore,NYY,,MIA,W,12,1,,7-Aug,3,5,Severino,Smith,,3:38,N,"32,525",1548840.5
16,"Tuesday, Apr 17",boxscore,NYY,,MIA,L,1,9,,8-Aug,3,6,Garcia,Tanaka,,3:11,N,"34,005",1619318.1
17,"Thursday, Apr 19",boxscore,NYY,,TOR,W,4,3,,8-Sep,3,6.5,Green,Sanchez,Chapman,3:00,N,"36,665",1745987.3
18,"Friday, Apr 20",boxscore,NYY,,TOR,L,5,8,,9-Sep,3,7.5,Estrada,German,Osuna,3:22,N,"39,197",1866561.14
19,"Saturday, Apr 21",boxscore,NYY,,TOR,W,9,1,,9-Oct,3,6.5,Montgomery,Stroman,,2:50,D,"40,986",1951753.32
20,"Sunday, Apr 22",boxscore,NYY,,TOR,W,5,1,,9-Nov,3,5.5,Severino,Garcia,,2:47,D,"43,628",2077565.36
21,"Monday, Apr 23",boxscore,NYY,,MIN,W,14,1,,9-Dec,3,5,Tanaka,Odorizzi,,3:38,N,"39,249",1869037.38
22,"Tuesday, Apr 24",boxscore,NYY,,MIN,W,8,3,,13-9,3,4,Sabathia,Berrios,,3:11,N,"39,025",1858370.5
23,"Wednesday, Apr 25",boxscore,NYY,,MIN,W,7,4,,14-9,2,4,Green,Lynn,Chapman,3:40,N,"39,243",1868751.66
24,"Thursday, Apr 26",boxscore,NYY,,MIN,W-wo,4,3,,15-9,2,4,Betances,Rodney,,3:05,D,"40,758",1940895.96
25,"Friday, Apr 27",boxscore,NYY,@,LAA,W,4,3,10,16-9,2,3,Robertson,Parker,Chapman,3:15,N,"40,416",1924609.92
26,"Saturday, Apr 28",boxscore,NYY,@,LAA,W,11,1,,17-9,2,2,Tanaka,Richards,,3:09,N,"44,649",2126185.38
27,"Sunday, Apr 29",boxscore,NYY,@,LAA,W,2,1,,18-9,2,2,Sabathia,Skaggs,Chapman,3:00,N,"44,593",2123518.66
28,"Monday, Apr 30",boxscore,NYY,@,HOU,L,1,2,,18-10,2,3,Morton,Gray,Giles,2:31,N,"30,061",1431504.82
29,"Tuesday, May 1",boxscore,NYY,@,HOU,W,4,0,,19-10,2,2,Robertson,Giles,,2:57,N,"34,386",1637461.32
30,"Wednesday, May 2",boxscore,NYY,@,HOU,W,4,0,,20-10,2,2,Severino,Keuchel,,2:31,N,"31,617",1505601.54
31,"Thursday, May 3",boxscore,NYY,@,HOU,W,6,5,,21-10,2,1,Shreve,Harris,Chapman,3:11,D,"34,838",1658985.56
32,"Friday, May 4",boxscore,NYY,,CLE,W-wo,7,6,,22-10,2,1,Chapman,Ogando,,3:22,N,"46,869",2231901.78
33,"Saturday, May 5",boxscore,NYY,,CLE,W,5,2,,23-10,2,1,Gray,Bauer,Robertson,2:31,D,"43,075",2051231.5
34,"Sunday, May 6",boxscore,NYY,,CLE,W-wo,7,4,,24-10,2,1,Shreve,Allen,,3:05,D,"40,107",1909895.34
35,"Tuesday, May 8",boxscore,NYY,,BOS,W,3,2,,25-10,1,Tied,Robertson,Hembree,Chapman,3:29,N,"45,773",2179710.26
36,"Wednesday, May 9",boxscore,NYY,,BOS,W,9,6,,26-10,1,up 1.0,Holder,Barnes,Chapman,3:42,N,"47,088",2242330.56
37,"Thursday, May 10",boxscore,NYY,,BOS,L,4,5,,26-11,1,Tied,Kelly,Betances,Kimbrel,3:21,N,"46,899",2233330.38
38,"Friday, May 11",boxscore,NYY,,OAK,L,5,10,,26-12,1,Tied,Graveman,Gray,Treinen,3:02,N,"43,093",2052088.66
39,"Saturday, May 12",boxscore,NYY,,OAK,W-wo,7,6,11,27-12,1,Tied,Cole,Hatcher,,4:15,D,"41,859",1993325.58
40,"Sunday, May 13",boxscore,NYY,,OAK,W,6,2,,28-12,1,Tied,Severino,Anderson,,3:07,D,"40,538",1930419.56
41,"Tuesday, May 15",boxscore,NYY,@,WSN,L,3,5,,28-13,1,up 0.5,Suero,Green,Doolittle,2:55,N,"41,567",1979420.54
42,"Friday, May 18",boxscore,NYY,@,KCR,L,2,5,,28-14,2,0.5,Junis,Sabathia,Herrera,2:46,N,"26,433",1258739.46
43,"Saturday, May 19",boxscore,NYY,@,KCR,W,8,3,,29-14,2,0.5,Severino,Duffy,,2:57,N,"33,684",1604032.08
44,"Sunday, May 20",boxscore,NYY,@,KCR,W,10,1,,30-14,2,0.5,Gray,Skoglund,,2:31,D,"24,121",1148642.02
45,"Monday, May 21",boxscore,NYY,@,TEX,W,10,5,,31-14,1,Tied,Tanaka,Colon,,3:07,N,"29,553",1407313.86
46,"Tuesday, May 22",boxscore,NYY,@,TEX,L,4,6,,31-15,2,1,Hamels,German,Kela,3:07,N,"30,325",1444076.5
47,"Wednesday, May 23",boxscore,NYY,@,TEX,L,10,12,,31-16,2,2,Claudio,Robertson,Kela,3:20,N,"31,304",1490696.48
48,"Friday, May 25",boxscore,NYY,,LAA,W,2,1,,32-16,2,1.5,Green,Johnson,Chapman,3:00,N,"46,056",2193186.72
49,"Saturday, May 26",boxscore,NYY,,LAA,L,4,11,,32-17,2,2.5,Barria,Gray,,3:30,N,"44,565",2122185.3
50,"Sunday, May 27",boxscore,NYY,,LAA,W,3,1,,33-17,2,1.5,Tanaka,Richards,Chapman,3:27,D,"46,109",2195710.58
51,"Monday, May 28",boxscore,NYY,,HOU,L,1,5,,33-18,2,2.5,Verlander,German,,3:14,D,"46,583",2218282.46
52,"Tuesday, May 29",boxscore,NYY,,HOU,W-wo,6,5,10,34-18,2,2.5,Chapman,Peacock,,3:47,N,"45,458",2164709.96
53,"Wednesday, May 30",boxscore,NYY,,HOU,W,5,3,,35-18,2,2.5,Severino,Keuchel,Chapman,2:47,N,"45,229",2153804.98
